"SYMBOL","ENTREZID"
"PLPP3","8613"
"CELSR2","1952"
"IL6R","3570"
"ABCG8","64241"
"VAMP5","10791"
"TEX41","401014"
"WDR12","55759"
"MRAS","22808"
"NOA1","84273"
"GUCY1A1","2982"
"SLC22A4","6583"
"PHACTR1","221692"
"ADTRP","84830"
"ANKS1A","23294"
"KCNK5","8645"
"TCF21","6943"
"SLC22A3","6581"
"PLG","5340"
"HDAC9","9734"
"BCAP29","55973"
"ZC3HC1","51530"
"NOS3","4846"
"LPL","4023"
"JCAD","57608"
"LIPA","3988"
"CNNM2","54805"
"SWAP70","23075"
"ZPR1","8882"
"ATP2B1","490"
"SH2B3","10019"
"KSR2","283455"
"FLT1","2321"
"COL4A2","1284"
"HHIPL1","84439"
"SMAD3","4088"
"FURIN","5045"
"SMG6","23293"
"UBE2Z","65264"
"BCAS3","54828"
"TOMM40","10452"
"LOC400684","400684"
"SMARCA4","6597"
"POM121L9P","29774"
